id,spkid,full_name,pdes,name,prefix,neo,pha,H,G,M1,M2,K1,K2,PC,diameter,extent,albedo,rot_per,GM,BV,UB,IR,spec_B,spec_T,H_sigma,diameter_sigma,orbit_id,epoch,epoch_mjd,epoch_cal,equinox,e,a,q,i,om,w,ma,ad,n,tp,tp_cal,per,per_y,moid,moid_ld,t_jup,sigma_e,sigma_a,sigma_q,sigma_i,sigma_om,sigma_w,sigma_ma,sigma_ad,sigma_n,sigma_tp,sigma_per,class,producer,data_arc,first_obs,last_obs,n_obs_used,n_del_obs_used,n_dop_obs_used,condition_code,rms,two_body,A1,A2,A3,DT
a0000293,2000293,   293 Brasilia,293,Brasilia,0,N,N,9.94,0,57490.00,1440.00,0,0,0,54401.48,0,0.0615,8.17,0,0.721,0.352,0,0,CX,0,826.57,JPL 17,2457200.5,57200,20150627,J2000,0.107267536,2.860740518,2.553875933,15.58149522,61.32460084,86.94819361,26.34211252,3.167605104,0.203697816,2457071.18,20150217.68,1767.323807,4.838668875,1.62399,632.0081883,3.239,4.58E-08,1.88E-08,0.000000133,0.00000603,0.000019834,0.000033398,0.000026447,2.09E-08,2.01E-09,0.0001298,0.000017456,MBA,Otto Matic,38771,3398,42169,1238,0,0,0,0.48,0,0,0,0,0
a0000294,2000294,   294 Felicia,294,Felicia,0,N,N,10.1,0,51870.00,510.00,0,0,0,51028.42,0,0.091,10.4227,0,0,0,0,0,0,0,1521.13,JPL 19,2457200.5,57200,20150627,J2000,0.23937065,3.148725405,2.395012959,6.292454889,136.0222058,185.153101,144.6842246,3.902437852,0.176401345,2456380.301,20130328.8,2040.800769,5.587407992,1.38226,537.9341242,3.154,3.53E-08,1.65E-08,0.000000113,0.00000436,0.000041334,0.000042099,0.000010141,2.05E-08,1.39E-09,0.000053764,0.000016058,MBA,Otto Matic,39752,2335,42087,1943,0,0,0,0.53,0,0,0,0,0
a0000299,2000299,   299 Thora,299,Thora,0,N,N,11.3,0,15760.00,80.00,0,0,0,16942.77,0,0.1673,274,0,0,0,0,0,0,0,417.38,JPL 20,2457200.5,57200,20150627,J2000,0.062318809,2.434307223,2.282604097,1.603504417,241.5419137,150.72592,297.0405917,2.58601035,0.259502169,2457443.116,20160224.62,1387.271641,3.798142755,1.28846,501.4299782,3.502,0.000000043,9.90E-09,0.000000108,0.00000453,0.00015667,0.00016013,0.000033881,1.05E-08,1.58E-09,0.00013081,0.00000847,MBA,Otto Matic,30242,12023,42265,1652,0,0,0,0.51,0,0,0,0,0
a0000300,2000300,   300 Geraldina,300,Geraldina,0,N,N,9.8,0,67370.00,90.00,0,0,0,71937.62,0,0.0397,6.8423,0,0,0,0,0,0,0,1455.37,JPL 19,2457200.5,57200,20150627,J2000,0.056692928,3.204449158,3.022779553,0.732293743,42.66676214,326.0450338,243.6487755,3.386118763,0.171820111,2457877.669,20170504.17,2095.214568,5.736384853,2.02166,786.7694222,3.191,4.07E-08,1.69E-08,0.000000134,0.0000045,0.00035317,0.00035531,0.000036186,1.79E-08,1.36E-09,0.00021187,0.000016574,OMB,Otto Matic,42074,156,42230,1921,0,0,0,0.55,0,0,0,0,0
a0000301,2000301,   301 Bavaria,301,Bavaria,0,N,N,10.3,0,53040.00,430.00,0,0,0,52584.95,0,0.0546,12.253,0,0,0,0,C,0,0,1941.20,JPL 65,2457200.5,57200,20150627,J2000,0.066457571,2.725330031,2.544211217,4.894766271,142.3753063,125.5244489,28.33238783,2.906448844,0.219066223,2457071.167,20150217.67,1643.338687,4.499216119,1.53186,596.1539562,3.348,3.28E-08,1.03E-08,9.14E-08,0.0000038,0.000044307,0.000052322,0.000027866,0.000000011,1.24E-09,0.0001272,0.00000934,MBA,Otto Matic,42767,1898-07-16,42235,1874,0,0,0,0.52,0,0,0,0,0
a0000303,2000303,   303 Josephina,303,Josephina,0,N,N,8.9,0,104350.00,2280.00,0,0,0,106069.37,0,0.0594,12.497,0,0,0,0,0,0,0,2714.27,JPL 13,2457200.5,57200,20150627,J2000,0.062196441,3.123738777,2.929453342,6.872947212,344.0036797,64.12470859,285.7495124,3.318024212,0.17852211,2457616.418,20160815.92,2016.556944,5.521032016,1.94717,757.7801489,3.201,4.17E-08,1.48E-08,0.00000013,0.00000541,0.000038274,0.0000552,0.000039621,1.57E-08,1.27E-09,0.00022243,0.000014343,MBA,Otto Matic,45480,1891-03-12,42265,1537,0,0,0,0.6,0,0,0,0,0
a0000304,2000304,   304 Olga,304,Olga,0,N,N,9.74,0.07,65990.00,290.00,0,0,0,64401.71,0,0.0488,18.36,0,0.708,0.249,0,Xc,C,0,2477.30,JPL 29,2457200.5,57200,20150627,J2000,0.222349736,2.40294638,1.868651887,15.8529779,159.0812005,172.4678062,317.7438557,2.937240873,0.264598851,2457360.199,20151203.7,1360.550126,3.724983233,0.859604,334.5320887,3.44,0.000000033,7.36E-09,7.92E-08,0.00000356,0.000010139,0.000012384,0.00000828,8.99E-09,1.22E-09,0.000031803,0.00000625,MBA,Otto Matic,45485,1891-02-28,42258,1495,0,0,0,0.52,0,0,0,0,0
a0000305,2000305,   305 Gordonia,305,Gordonia,0,N,N,8.77,0,54918.00,1370.00,0,0,0,49762.21,0,0.2269,12.893,0,0.919,0.507,0,0,S,0,2322.09,JPL 31,2457200.5,57200,20150627,J2000,0.192491795,3.091437863,2.496361441,4.442920145,207.5212452,261.2567054,330.6368462,3.686514286,0.18132734,2457362.435,20151205.93,1985.359734,5.43561871,1.51847,590.9429699,3.191,3.84E-08,1.61E-08,0.000000122,0.00000461,0.000055915,0.000056632,0.000011521,1.93E-08,1.42E-09,0.000064088,0.000015555,MBA,Otto Matic,45015,1892-05-24,42239,1553,0,0,0,0.56,0,0,0,0,0
a0000307,2000307,   307 Nike,307,Nike,0,N,N,10.12,0,61310.00,790.00,0,0,0,62448.75,0,0.0524,7.902,0,0.669,0.267,0,0,CX,0,1970.03,JPL 17,2457200.5,57200,20150627,J2000,0.142694676,2.908749162,2.493686141,6.125568885,100.9990241,325.038035,90.70481501,3.323812183,0.198675661,2456743.953,20140327.45,1811.998499,4.960981517,1.5111,588.074787,3.26,4.12E-08,1.29E-08,0.00000012,0.0000045,0.000050415,0.000053151,0.000016855,1.47E-08,1.32E-09,0.00008462,0.000012043,MBA,Otto Matic,45368,1891-03-05,42146,1632,0,0,0,0.54,0,0,0,0,0
a0000308,2000308,   308 Polyxo,308,Polyxo,0,N,N,8.17,0.21,144400.00,13864.00,0,0,0,137824.70,0,0.0482,12.029,0,0.783,0.379,0,T,T,0,2671.32,JPL 67,2457200.5,57200,20150627,J2000,0.039806402,2.749410309,2.639966177,4.360980475,181.7318859,115.6395143,343.8266105,2.858854442,0.216194548,2457275.309,20150909.81,1665.166872,4.558978431,1.62785,633.5103845,3.341,2.58E-08,7.13E-09,7.21E-08,0.0000033,0.000042177,0.000058007,0.000040012,7.42E-09,8.41E-10,0.00018511,0.00000648,MBA,Otto Matic,45411,1891-04-06,42221,1893,0,0,0,0.59,0,0,0,0,0
a0000309,2000309,   309 Fraternitas,309,Fraternitas,0,N,N,10.6,0,44534.00,968.00,0,0,0,37929.49,0,0.0595,22.398,0,0,0,0,0,0,0,839.10,JPL 28,2457200.5,57200,20150627,J2000,0.115450129,2.663985647,2.356428159,3.720087597,356.573001,310.5409478,99.55654435,2.971543134,0.226676372,2456761.299,20140413.8,1588.167292,4.348165072,1.34362,522.8965954,3.372,3.15E-08,9.63E-09,8.24E-08,0.00000355,0.000055916,0.000058029,0.000016374,1.07E-08,1.23E-09,0.000071854,0.00000861,MBA,Otto Matic,45241,1891-04-06,42051,1819,0,0,0,0.49,0,0,0,0,0
a0000310,2000310,   310 Margarita,310,Margarita,0,N,N,10.1,0,33710.00,240.00,0,0,0,35589.63,0,0.125,12.07,0,0,0,0,S,0,0,192.10,JPL 18,2457200.5,57200,20150627,J2000,0.113399504,2.762115528,2.448892997,3.171512587,229.2936495,324.4659966,52.29339177,3.07533806,0.214704583,2456956.94,20141026.44,1676.722476,4.590615951,1.44903,563.9190051,3.329,4.38E-08,1.17E-08,0.000000123,0.00000506,0.000075595,0.00007787,0.000018053,1.31E-08,1.37E-09,0.000083711,0.000010695,MBA,Otto Matic,34681,7589,42270,1729,0,0,0,0.53,0,0,0,0,0
a0000311,2000311,   311 Claudia,311,Claudia,0,N,N,10,0,25800.00,84.00,0,0,0,29907.43,0,0.3381,7.532,0,0.843,0.437,0,0,S,0,1944.83,JPL 22,2457200.5,57200,20150627,J2000,0.002493536,2.898175429,2.890948724,3.22693589,81.02026784,46.52848324,185.1313525,2.905402134,0.199763928,2458075.876,20171118.38,1802.12716,4.933955263,1.8876,734.597292,3.286,3.88E-08,1.33E-08,0.00000011,0.00000487,0.00008411,0.0010913,0.0010865,1.33E-08,1.37E-09,0.0054393,0.000012402,MBA,Otto Matic,41288,979,42267,2080,0,0,0,0.5,0,0,0,0,0
a0000312,2000312,   312 Pierretta,312,Pierretta,0,N,N,8.89,0,47219.00,497.00,0,0,0,46702.72,0,0.1967,10.282,0,0.843,0.429,0,Sk,S,0,2185.80,JPL 29,2457200.5,57200,20150627,J2000,0.158685461,2.782507254,2.340963808,9.029622718,6.282328877,262.5284865,317.7311815,3.224050699,0.212348705,2457399.554,20160112.05,1695.324681,4.641546013,1.34648,524.0096216,3.296,3.27E-08,0.000000012,9.22E-08,0.0000046,0.000025449,0.000029174,0.000015501,1.39E-08,1.37E-09,0.000073415,0.000010977,MBA,Otto Matic,45295,1891-08-29,42250,1482,0,0,0,0.54,0,0,0,0,0
a0000313,2000313,   313 Chaldaea,313,Chaldaea,0,N,N,8.9,0,96000.00,7809.00,0,0,0,83982.41,0,0.0524,8.392,0,0.715,0.342,0,0,C,0,1557.84,JPL 71,2457200.5,57200,20150627,J2000,0.181089438,2.375443031,1.945275387,11.65270097,176.6426345,315.9662297,154.6787094,2.805610675,0.269207494,2456625.929,20131129.43,1337.258466,3.661214143,0.975833,379.7649286,3.492,3.61E-08,4.36E-09,8.56E-08,0.00000447,0.00001488,0.000017468,0.00000907,5.14E-09,7.40E-10,0.000033425,0.00000368,MBA,Otto Matic,44762,1893-02-24,42262,1703,0,0,0,0.61,0,0,0,0,0
a0000314,2000314,   314 Rosalia,314,Rosalia,0,N,N,9.9,0,66816.00,1150.00,0,0,0,61172.56,0,0.0787,20.43,0,0,0,0,0,0,0,1801.48,JPL 24,2457200.5,57200,20150627,J2000,0.176932027,3.152525781,2.594743003,12.56012585,170.3156505,190.2882836,46.33256862,3.710308559,0.176082463,2456937.37,20141006.87,2044.496621,5.597526683,1.59227,619.6637159,3.146,3.97E-08,1.47E-08,0.000000126,0.00000487,0.000020418,0.000023297,0.000011919,1.73E-08,1.23E-09,0.000067141,0.000014265,MBA,Otto Matic,45288,1891-09-02,42247,1669,0,0,0,0.55,0,0,0,0,0
